229,80,392,80,392,126,229,126
85,82,222,81,223,126,85,128
206,129,236,129,236,141,206,141
116,149,368,141,371,242,119,251
266,277,367,274,368,293,266,296
199,278,254,276,255,295,200,297
149,281,192,279,194,299,150,302
126,281,152,281,152,304,126,304
292,309,335,307,336,322,293,325
224,312,278,312,278,326,224,326
156,313,216,313,216,333,156,333
129,316,153,316,153,336,129,336
247,338,306,337,307,352,248,354
310,337,362,337,362,350,310,350
160,342,234,340,235,356,161,359
133,344,157,344,157,361,133,361
282,363,341,363,341,379,282,379
221,366,272,366,272,381,221,381
164,368,216,368,216,389,164,389
136,372,150,372,150,388,136,388
337,382,364,382,364,396,337,396
294,384,330,384,330,397,294,397
236,388,287,386,288,398,237,400
166,390,227,389,228,403,166,405
138,392,160,392,160,408,138,408
297,406,360,406,360,420,297,420
182,410,251,406,252,420,182,423
266,410,284,410,284,420,266,420
134,417,165,415,165,425,134,427
288,424,333,424,333,437,288,437
233,425,277,425,277,440,233,440
177,428,220,428,220,442,177,442
142,432,157,432,157,445,142,445
135,453,203,451,204,470,136,472
212,452,273,452,273,466,212,466
289,452,350,452,350,465,289,465
200,472,242,470,243,485,201,487
249,470,298,470,298,484,249,484
306,470,358,470,358,484,306,484
141,473,186,473,186,485,141,485
303,483,355,481,356,491,304,494
